device_id,timestamp,downstream_curr_rate_kbps,downstream_max_rate_kbps,upstream_curr_rate_kbps,upstream_max_rate_kbps,snr_margin_down_db,snr_margin_up_db,attenuation_down_db,attenuation_up_db,crc_errors_total,health_score,root_cause
IGD_260,2026-02-24 09:21:38,9681,22438,2967,3365,18.2,15.55,18.79,18.42,142,0,NORMAL
IGD_097,2026-02-23 21:21:37,2881,12891,758,1933,20.69,17.15,35.52,38.43,198,0,Configuration / Ports overload
IGD_102,2026-02-24 21:21:37,2122,22439,1907,3365,4.81,3.77,24.8,30.42,1042,2,High Interference / Noise
IGD_291,2026-02-24 21:21:38,10266,18422,2457,2763,24.18,17.5,18.71,24.82,78,0,NORMAL
IGD_036,2026-02-24 21:21:37,9842,22985,3123,3447,20.72,21.76,21.57,27.19,104,0,NORMAL
IGD_074,2026-02-24 09:21:37,1915,15759,1691,2363,10.84,9.47,46.82,55.99,283,1,Line degradation
IGD_179,2026-02-23 21:21:38,4073,16269,2102,2440,17.1,13.96,37.48,38.74,44,0,NORMAL
IGD_161,2026-02-24 21:21:38,4104,13936,1844,2090,19.66,13.76,39.51,40.41,20,0,NORMAL
IGD_026,2026-02-25 03:21:37,4056,10758,1402,1613,22.85,19.87,43.5,43.58,0,0,NORMAL
IGD_278,2026-02-23 03:21:38,5461,17080,2298,2562,20.53,12.91,39.41,39.06,21,0,NORMAL
IGD_265,2026-02-23 09:21:38,2020,8073,1080,1210,19.4,14.39,46.06,48.09,6,1,NORMAL
IGD_275,2026-02-23 09:21:38,4454,23253,2769,3487,11.12,10.33,25.75,34.46,95,0,Crosstalk / Saturation
IGD_239,2026-02-23 15:21:38,2922,8933,1203,1339,24.72,14.27,42.96,49.96,62,0,NORMAL
IGD_103,2026-02-25 03:21:37,2917,10923,1478,1638,20.66,20.3,46.47,49.46,14,1,NORMAL
IGD_241,2026-02-24 21:21:38,407,10117,994,1517,5.74,5.92,63.94,71.5,615,2,Line degradation
IGD_097,2026-02-25 03:21:37,1902,12891,969,1933,17.65,16.88,37.85,32.11,439,1,Configuration / Ports overload
IGD_300,2026-02-22 21:21:38,4643,13284,1784,1992,16.85,22.04,24.44,27.93,31,0,NORMAL
IGD_082,2026-02-25 03:21:37,1720,18849,2016,2827,5.46,4.74,38.0,46.18,670,1,Line degradation
IGD_272,2026-02-24 09:21:38,5018,13812,1912,2071,21.63,17.79,37.1,37.66,37,0,NORMAL
IGD_233,2026-02-24 03:21:38,5000,20988,2269,3148,10.66,11.21,25.95,33.51,221,0,Line degradation
IGD_046,2026-02-24 09:21:37,8142,20277,2585,3041,13.84,19.53,20.32,19.24,26,0,NORMAL
IGD_047,2026-02-23 09:21:37,1663,14916,882,2237,13.99,14.94,34.93,39.95,269,1,Configuration / Ports overload
IGD_235,2026-02-23 21:21:38,2019,23196,2253,3479,7.34,3.13,18.85,24.52,2904,2,High Interference / Noise
IGD_269,2026-02-24 21:21:38,680,10663,1193,1599,7.61,7.85,57.97,66.08,224,2,Line degradation
IGD_039,2026-02-23 03:21:37,526,8626,691,1293,4.59,5.06,40.24,44.5,1584,2,High Interference / Noise
IGD_190,2026-02-23 03:21:38,13749,22453,3128,3367,23.58,15.5,16.24,18.16,12,0,NORMAL
IGD_184,2026-02-23 09:21:38,2108,14517,1065,2177,16.76,17.05,31.62,38.3,387,1,Configuration / Ports overload
IGD_231,2026-02-24 21:21:38,10122,18780,2648,2817,23.51,21.35,16.71,17.06,4,0,NORMAL
IGD_151,2026-02-24 09:21:37,2355,17732,2054,2659,12.49,7.86,41.98,42.69,363,0,Line degradation
IGD_081,2026-02-24 03:21:37,9110,18023,2559,2703,23.73,12.97,23.67,30.16,44,0,NORMAL
IGD_244,2026-02-24 21:21:38,9265,23265,3262,3489,15.94,19.24,19.52,25.09,1,0,NORMAL
IGD_076,2026-02-24 09:21:37,3601,18137,1660,2720,11.61,11.89,25.22,35.5,119,0,Crosstalk / Saturation
IGD_252,2026-02-24 03:21:38,1784,12398,1416,1859,10.74,10.14,36.58,47.91,92,0,Line degradation
IGD_126,2026-02-23 15:21:37,11046,22292,3122,3343,21.4,13.77,18.99,24.6,74,0,NORMAL
IGD_087,2026-02-25 03:21:37,2832,17112,1095,2566,17.33,15.95,28.57,32.91,361,0,Configuration / Ports overload
IGD_207,2026-02-23 21:21:38,507,9045,843,1356,5.47,2.28,48.92,53.78,990,2,High Interference / Noise
IGD_142,2026-02-22 21:21:37,1218,10997,1232,1649,9.16,3.37,44.02,48.56,376,1,Crosstalk / Saturation
IGD_237,2026-02-22 21:21:38,8205,22727,2961,3409,16.31,21.45,21.11,23.89,56,0,NORMAL
IGD_229,2026-02-24 15:21:38,5281,13010,1818,1951,19.79,16.35,24.97,27.44,133,0,NORMAL
IGD_286,2026-02-24 21:21:38,3532,17367,1358,2605,15.85,16.72,27.61,32.23,211,0,Configuration / Ports overload
IGD_118,2026-02-23 15:21:37,838,12831,1156,1924,4.57,5.12,23.06,31.38,4694,2,High Interference / Noise
IGD_055,2026-02-23 09:21:37,2503,20690,1841,3103,7.48,3.47,13.74,18.59,1029,2,High Interference / Noise
IGD_211,2026-02-23 21:21:38,1256,11354,1062,1703,14.42,13.12,51.74,60.6,63,1,Line degradation
IGD_126,2026-02-24 03:21:37,12040,22292,3110,3343,24.16,17.97,18.68,20.44,3,0,NORMAL
IGD_177,2026-02-24 09:21:38,6656,14382,1885,2157,23.85,21.69,30.43,28.56,69,0,NORMAL
IGD_177,2026-02-24 03:21:38,4861,14382,1981,2157,18.3,21.21,29.1,32.71,26,0,NORMAL
IGD_129,2026-02-25 03:21:37,1093,12061,791,1809,7.23,4.72,44.83,47.26,1318,2,High Interference / Noise
IGD_243,2026-02-23 03:21:38,2681,12148,710,1822,20.56,11.25,37.57,39.81,349,0,Configuration / Ports overload
IGD_253,2026-02-24 15:21:38,1495,12570,810,1885,8.17,2.37,28.48,31.52,826,2,High Interference / Noise
IGD_135,2026-02-23 15:21:37,7521,19603,2500,2940,16.83,17.24,20.38,22.44,61,0,NORMAL
IGD_153,2026-02-24 03:21:37,4040,19041,2232,2856,11.86,12.18,32.53,37.77,117,0,Line degradation
IGD_290,2026-02-23 21:21:38,8021,21831,2890,3274,17.32,19.19,25.58,25.26,0,0,NORMAL
IGD_269,2026-02-24 09:21:38,1033,10663,1074,1599,9.61,9.41,53.95,62.39,148,1,Line degradation
IGD_220,2026-02-23 21:21:38,5957,22973,2479,3445,14.53,13.19,27.32,31.25,42,0,Line degradation
IGD_243,2026-02-22 21:21:38,1349,12148,690,1822,12.86,16.34,39.77,41.71,371,1,Configuration / Ports overload
IGD_168,2026-02-24 15:21:38,3684,15213,1022,2281,19.08,12.62,24.03,24.01,145,0,Configuration / Ports overload
IGD_129,2026-02-24 09:21:37,729,12061,954,1809,3.39,3.94,36.82,45.23,1408,2,High Interference / Noise
IGD_044,2026-02-24 03:21:37,2723,13601,1112,2040,19.93,9.73,26.59,27.6,196,1,Configuration / Ports overload
IGD_173,2026-02-24 15:21:38,3354,9921,1343,1488,20.02,14.21,42.73,44.63,25,0,NORMAL
IGD_024,2026-02-24 15:21:37,4456,18191,1247,2728,20.55,16.48,21.71,24.77,266,1,Configuration / Ports overload
IGD_235,2026-02-24 15:21:38,1944,23196,1990,3479,6.88,3.8,24.88,30.55,2553,2,High Interference / Noise
IGD_011,2026-02-25 03:21:37,1077,14904,1687,2235,7.71,4.89,46.03,53.55,902,1,Line degradation
IGD_228,2026-02-23 21:21:38,4270,16956,2202,2543,15.41,13.87,39.99,44.51,9,0,NORMAL
IGD_017,2026-02-23 15:21:37,3708,14215,1367,2132,13.63,11.4,34.88,41.22,35,0,Line degradation
IGD_029,2026-02-24 21:21:37,2371,13251,856,1987,21.0,14.6,28.87,33.73,208,1,Configuration / Ports overload
IGD_026,2026-02-23 09:21:37,3280,10758,1490,1613,18.86,21.44,45.52,45.72,25,0,NORMAL
IGD_259,2026-02-23 15:21:38,9574,21643,3015,3246,18.05,21.53,15.93,22.89,116,0,NORMAL
IGD_197,2026-02-23 21:21:38,1920,19907,1700,2986,6.17,0.88,20.73,28.16,270,2,High Interference / Noise
IGD_129,2026-02-24 21:21:37,564,12061,1116,1809,2.21,3.96,40.09,46.9,2801,2,High Interference / Noise
IGD_075,2026-02-23 21:21:37,7678,19016,2504,2852,19.86,18.92,24.87,30.96,37,0,NORMAL
IGD_121,2026-02-24 09:21:37,3859,23634,2537,3545,10.26,10.7,31.22,37.37,157,0,Line degradation
IGD_242,2026-02-25 03:21:38,923,12946,1342,1941,6.03,5.04,49.24,57.17,462,1,Line degradation
IGD_140,2026-02-23 03:21:37,6257,19612,1844,2941,21.52,17.21,22.15,23.94,20,0,Line degradation
IGD_234,2026-02-23 15:21:38,3120,14943,1477,2241,17.15,13.74,34.85,46.67,22,0,Line degradation
IGD_100,2026-02-22 21:21:37,12025,23565,3237,3534,23.85,20.43,23.68,26.7,75,0,NORMAL
IGD_084,2026-02-25 03:21:37,1981,11944,958,1791,20.01,14.37,43.55,45.85,304,0,Configuration / Ports overload
IGD_115,2026-02-25 03:21:37,2256,15557,1508,2333,8.82,9.0,41.92,47.44,368,0,Crosstalk / Saturation
IGD_123,2026-02-23 03:21:37,855,10638,914,1595,5.98,2.26,42.68,46.12,1279,2,High Interference / Noise
IGD_175,2026-02-23 15:21:38,6288,15114,2088,2267,22.4,21.37,31.29,31.87,16,0,NORMAL
IGD_241,2026-02-22 21:21:38,2101,10117,1187,1517,19.15,17.58,43.63,51.09,124,1,Line degradation
IGD_047,2026-02-23 03:21:37,3854,14916,869,2237,21.19,16.7,34.81,36.96,449,0,Configuration / Ports overload
IGD_131,2026-02-25 03:21:37,275,9096,1003,1364,6.03,5.57,64.86,70.78,1040,2,Line degradation
IGD_144,2026-02-24 03:21:37,5885,14232,1843,2134,21.79,22.46,31.72,32.35,50,0,NORMAL
IGD_016,2026-02-24 15:21:37,2921,9134,1179,1370,21.89,22.16,43.36,44.41,21,0,NORMAL
IGD_192,2026-02-23 03:21:38,2018,13467,1425,2020,9.87,6.11,30.78,39.97,178,0,Crosstalk / Saturation
IGD_236,2026-02-25 03:21:38,4284,15459,1981,2318,21.34,22.1,36.97,46.8,26,0,NORMAL
IGD_068,2026-02-24 15:21:37,1248,15793,1170,2368,5.57,3.24,30.4,36.97,2940,2,High Interference / Noise
IGD_285,2026-02-24 21:21:38,2986,19318,2208,2897,11.27,8.07,24.87,39.61,1052,1,Crosstalk / Saturation
IGD_188,2026-02-23 09:21:38,3480,16254,1551,2438,18.74,14.2,37.53,42.67,64,0,Line degradation
IGD_024,2026-02-24 21:21:37,3839,18191,1382,2728,21.41,14.79,21.33,29.23,161,1,Configuration / Ports overload
IGD_292,2026-02-24 15:21:38,5018,13693,1791,2053,17.66,23.37,24.94,27.49,115,0,NORMAL
IGD_110,2026-02-23 03:21:37,9549,18952,2528,2842,21.88,16.51,18.14,24.17,14,0,NORMAL
IGD_288,2026-02-22 21:21:38,5902,17460,2060,2619,19.6,17.39,31.28,37.98,18,0,Line degradation
IGD_011,2026-02-22 21:21:37,5775,14904,1436,2235,18.78,14.64,28.18,34.15,68,0,Line degradation
IGD_032,2026-02-24 03:21:37,1160,9863,705,1479,18.94,12.3,48.29,51.94,196,1,Configuration / Ports overload
IGD_103,2026-02-23 15:21:37,3015,10923,1470,1638,23.05,14.75,48.16,48.32,103,1,NORMAL
IGD_275,2026-02-24 09:21:38,3984,23253,2245,3487,11.36,8.09,28.76,35.69,227,1,Crosstalk / Saturation
IGD_077,2026-02-24 15:21:37,2956,21154,2227,3173,11.04,6.22,34.92,44.96,213,1,Line degradation
IGD_135,2026-02-23 21:21:37,7498,19603,2586,2940,15.72,14.16,18.36,21.85,11,0,NORMAL
IGD_027,2026-02-23 03:21:37,6950,21085,2358,3162,17.4,17.1,23.43,34.61,35,0,Line degradation
IGD_146,2026-02-23 03:21:37,4410,12049,1687,1807,20.96,18.32,28.21,32.77,41,0,NORMAL
IGD_284,2026-02-23 21:21:38,691,9427,714,1414,7.46,1.86,43.04,50.55,1811,2,High Interference / Noise
IGD_020,2026-02-24 03:21:37,5742,14652,2085,2197,19.7,13.64,33.16,33.79,31,0,NORMAL
IGD_178,2026-02-24 03:21:38,1394,10958,1032,1643,11.21,9.59,48.74,52.35,413,0,Crosstalk / Saturation
IGD_285,2026-02-23 03:21:38,4139,19318,2253,2897,14.9,9.63,28.66,32.27,73,0,Crosstalk / Saturation
IGD_174,2026-02-24 03:21:38,6722,15236,2106,2285,24.16,17.23,34.28,35.34,64,0,NORMAL
IGD_018,2026-02-25 03:21:37,452,9377,850,1406,3.83,1.57,44.77,46.05,1009,2,High Interference / Noise
IGD_293,2026-02-23 09:21:38,1387,20851,1990,3127,4.35,1.57,25.05,29.32,2874,2,High Interference / Noise
IGD_035,2026-02-22 21:21:37,2640,23511,2242,3526,10.33,3.82,18.35,21.65,1171,2,High Interference / Noise
IGD_110,2026-02-25 03:21:37,10588,18952,2486,2842,25.66,15.46,14.45,16.37,39,0,NORMAL
IGD_155,2026-02-23 15:21:37,4271,12219,1677,1832,20.47,18.11,37.92,36.96,82,0,NORMAL
IGD_075,2026-02-24 21:21:37,6776,19016,2636,2852,18.55,14.66,24.78,29.93,24,0,NORMAL
IGD_276,2026-02-24 03:21:38,4415,14961,1922,2244,17.0,18.05,31.01,34.36,1,0,NORMAL
IGD_067,2026-02-23 09:21:37,10391,18353,2599,2752,25.93,21.21,19.14,22.21,17,0,NORMAL
IGD_049,2026-02-22 21:21:37,4682,16581,2165,2487,16.67,17.75,35.08,39.33,15,0,NORMAL
IGD_214,2026-02-24 21:21:38,3625,15879,844,2381,21.05,16.32,36.31,36.99,504,0,Configuration / Ports overload
IGD_088,2026-02-23 03:21:37,2090,22667,1650,3400,7.97,3.63,22.47,27.42,1271,2,High Interference / Noise
IGD_146,2026-02-23 15:21:37,5526,12049,1608,1807,24.73,12.15,32.26,33.14,39,0,NORMAL
IGD_296,2026-02-23 09:21:38,6786,20502,2420,3075,17.82,15.22,23.59,30.07,82,0,Line degradation
IGD_055,2026-02-25 03:21:37,2323,20690,1510,3103,2.37,2.27,12.05,12.99,721,2,High Interference / Noise
IGD_203,2026-02-22 21:21:38,9795,23664,3041,3549,17.08,15.36,22.75,31.9,0,0,NORMAL
IGD_271,2026-02-24 21:21:38,3123,16473,1097,2470,18.44,16.45,35.7,38.25,343,0,Configuration / Ports overload
IGD_075,2026-02-23 09:21:37,10183,19016,2618,2852,22.77,16.79,21.29,24.55,15,0,NORMAL
IGD_242,2026-02-24 03:21:38,2068,12946,1434,1941,9.45,10.61,40.83,46.1,147,0,Line degradation
IGD_264,2026-02-24 15:21:38,2315,19622,1944,2943,9.26,8.39,41.73,42.12,791,1,Line degradation
IGD_257,2026-02-24 09:21:38,7494,19839,2557,2975,14.35,19.57,21.56,26.05,63,0,NORMAL
IGD_230,2026-02-23 09:21:38,9185,21803,2938,3270,18.73,15.13,23.89,26.23,64,0,NORMAL
IGD_191,2026-02-25 03:21:38,7506,15902,2093,2385,23.7,13.69,29.81,27.57,31,0,NORMAL
IGD_080,2026-02-22 21:21:37,2338,9142,1220,1371,20.24,21.67,43.36,41.75,17,0,NORMAL
IGD_213,2026-02-22 21:21:38,2832,20729,2250,3109,9.11,8.19,28.37,31.71,417,1,Crosstalk / Saturation
IGD_145,2026-02-24 09:21:37,9146,23721,3357,3558,17.26,14.79,22.87,26.89,14,0,NORMAL
IGD_025,2026-02-24 15:21:37,1764,14003,1285,2100,9.85,11.99,40.56,45.69,167,0,Crosstalk / Saturation
IGD_083,2026-02-25 03:21:37,2616,12656,870,1898,23.81,13.08,31.97,34.4,296,0,Configuration / Ports overload
IGD_113,2026-02-23 21:21:37,9643,21398,3025,3209,19.15,17.15,14.58,18.58,71,0,NORMAL
IGD_273,2026-02-22 21:21:38,1376,9983,817,1497,17.89,16.63,40.4,42.19,440,0,Configuration / Ports overload
IGD_063,2026-02-24 09:21:37,3168,15768,1793,2365,11.97,11.97,35.18,42.41,76,0,Crosstalk / Saturation
IGD_035,2026-02-24 15:21:37,2424,23511,1924,3526,4.52,1.31,23.39,33.91,3472,2,High Interference / Noise
IGD_028,2026-02-24 21:21:37,605,10949,1107,1642,6.82,8.27,58.27,65.52,1707,2,Line degradation
IGD_179,2026-02-23 15:21:38,5475,16269,2113,2440,21.28,21.17,39.69,39.85,80,0,NORMAL
IGD_229,2026-02-22 21:21:38,4907,13010,1707,1951,16.97,19.7,29.16,36.98,72,0,NORMAL
IGD_066,2026-02-24 03:21:37,2471,10566,1471,1584,14.49,20.56,44.25,45.97,52,0,NORMAL
IGD_122,2026-02-23 15:21:37,1528,10749,596,1612,19.95,16.44,43.19,46.65,217,1,Configuration / Ports overload
IGD_084,2026-02-24 21:21:37,1321,11944,880,1791,12.5,15.89,44.76,50.1,192,0,Configuration / Ports overload
IGD_263,2026-02-23 21:21:38,5458,17236,2272,2585,18.24,19.82,36.54,35.75,76,0,NORMAL
IGD_259,2026-02-24 21:21:38,9900,21643,3050,3246,17.92,21.36,16.86,15.88,45,0,NORMAL
IGD_236,2026-02-22 21:21:38,5019,15459,2007,2318,21.81,12.43,39.06,40.49,70,0,NORMAL
IGD_171,2026-02-25 03:21:38,1322,16597,1670,2489,7.42,3.09,45.33,53.97,717,1,Line degradation
IGD_203,2026-02-23 15:21:38,11309,23664,3083,3549,22.33,15.27,28.65,27.13,76,0,NORMAL
IGD_098,2026-02-24 09:21:37,3508,16014,1115,2402,20.24,11.76,32.0,33.15,235,0,Configuration / Ports overload
IGD_045,2026-02-24 03:21:37,3186,9835,1365,1475,20.84,15.79,43.17,45.36,18,0,NORMAL
IGD_062,2026-02-24 15:21:37,6093,16078,2065,2411,21.07,19.94,29.89,33.42,95,0,NORMAL
IGD_148,2026-02-23 21:21:37,4816,21380,1212,3207,19.54,16.13,16.4,21.89,312,1,Configuration / Ports overload
IGD_178,2026-02-24 21:21:38,1465,10958,987,1643,10.88,6.62,45.54,50.32,158,0,Crosstalk / Saturation
IGD_252,2026-02-24 15:21:38,1310,12398,1442,1859,9.79,9.94,47.6,50.74,169,1,Line degradation
IGD_125,2026-02-23 21:21:37,9172,21202,2717,3180,17.72,13.59,17.08,18.8,28,0,NORMAL
IGD_300,2026-02-24 03:21:38,4862,13284,1740,1992,15.85,16.53,22.97,29.19,36,0,NORMAL
IGD_256,2026-02-23 09:21:38,9300,23354,3053,3503,16.93,21.34,17.02,19.38,28,0,NORMAL
IGD_055,2026-02-24 15:21:37,1831,20690,1933,3103,6.36,3.06,13.23,22.77,1334,2,High Interference / Noise
IGD_222,2026-02-22 21:21:38,948,9946,970,1491,9.13,4.52,45.97,51.71,346,1,Crosstalk / Saturation
IGD_163,2026-02-23 15:21:38,6913,18186,2349,2727,16.48,14.67,22.35,23.03,136,0,NORMAL
IGD_027,2026-02-23 15:21:37,6126,21085,2407,3162,16.04,14.49,27.88,32.41,15,0,Line degradation
IGD_140,2026-02-24 15:21:37,2807,19612,2193,2941,7.27,8.46,35.66,41.79,374,1,Line degradation
IGD_236,2026-02-23 15:21:38,5296,15459,2026,2318,23.75,21.08,42.17,44.76,24,0,NORMAL
IGD_182,2026-02-24 03:21:38,7461,20800,2787,3120,15.71,12.82,21.8,21.46,56,0,NORMAL
IGD_036,2026-02-23 15:21:37,11250,22985,3054,3447,22.38,22.31,21.63,26.99,12,0,NORMAL
IGD_108,2026-02-24 03:21:37,9652,20685,2795,3102,20.56,20.4,24.04,23.19,26,0,NORMAL
IGD_021,2026-02-24 21:21:37,2614,22151,2053,3322,7.61,8.21,32.11,36.63,393,1,Line degradation
IGD_062,2026-02-23 15:21:37,7323,16078,2194,2411,23.57,18.9,24.28,27.3,14,0,NORMAL
IGD_210,2026-02-22 21:21:38,8339,22556,2275,3383,19.54,16.02,22.83,24.78,28,0,Line degradation
IGD_210,2026-02-25 03:21:38,1919,22556,2101,3383,5.51,4.89,38.05,45.69,647,1,Line degradation
IGD_150,2026-02-24 21:21:37,3162,22675,2577,3401,7.73,6.91,33.13,38.94,912,1,Line degradation
IGD_114,2026-02-24 03:21:37,2318,15491,1505,2323,12.12,10.18,38.57,48.13,57,0,Line degradation
IGD_289,2026-02-22 21:21:38,10392,22831,3043,3424,20.89,17.7,23.95,26.13,41,0,NORMAL
IGD_208,2026-02-24 21:21:38,1939,15087,1173,2263,14.59,15.89,29.8,34.07,354,1,Configuration / Ports overload
IGD_006,2026-02-24 15:21:37,8383,21533,3024,3229,15.49,13.56,23.91,24.39,111,0,NORMAL
IGD_249,2026-02-23 15:21:38,3101,16501,1917,2475,13.57,12.73,37.51,48.19,30,0,Line degradation
IGD_082,2026-02-23 03:21:37,5836,18849,1846,2827,18.53,15.47,25.62,31.23,30,0,Line degradation
IGD_220,2026-02-24 03:21:38,4565,22973,2674,3445,14.17,11.51,27.11,34.04,48,0,Line degradation
IGD_057,2026-02-23 03:21:37,1928,20647,1360,3097,4.16,5.81,19.85,23.2,2005,2,High Interference / Noise
IGD_295,2026-02-23 15:21:38,5688,12989,1810,1948,22.98,13.08,29.98,35.15,65,0,NORMAL
IGD_023,2026-02-25 03:21:37,5748,16969,2165,2545,18.97,21.37,28.95,30.17,72,0,NORMAL
IGD_251,2026-02-25 03:21:38,6391,15024,1981,2253,23.07,15.84,25.64,32.81,73,0,NORMAL
IGD_173,2026-02-23 03:21:38,2546,9921,1373,1488,21.32,21.53,43.13,48.98,82,1,NORMAL
IGD_218,2026-02-25 03:21:38,1536,17326,1127,2598,7.46,5.44,33.16,39.88,306,2,High Interference / Noise
IGD_146,2026-02-22 21:21:37,4491,12049,1589,1807,21.81,19.36,29.81,31.65,12,0,NORMAL
IGD_124,2026-02-23 21:21:37,12733,22076,2957,3311,22.49,21.06,19.49,22.39,13,0,NORMAL
IGD_108,2026-02-23 03:21:37,10251,20685,2783,3102,20.52,13.55,22.6,24.84,48,0,NORMAL
IGD_285,2026-02-25 03:21:38,2918,19318,2036,2897,12.89,10.58,31.11,32.67,217,0,Crosstalk / Saturation
IGD_104,2026-02-24 15:21:37,2876,19252,2231,2887,7.74,6.76,35.27,40.28,369,1,Line degradation
IGD_089,2026-02-25 03:21:37,5619,16678,2356,2501,16.88,19.14,32.25,34.11,82,0,NORMAL
IGD_106,2026-02-23 15:21:37,4669,13998,1796,2099,14.63,22.53,30.15,31.89,39,0,NORMAL
IGD_071,2026-02-24 15:21:37,2632,9540,1255,1431,20.94,17.79,44.13,45.45,7,0,NORMAL
IGD_043,2026-02-23 21:21:37,1914,22668,1674,3400,5.65,3.82,16.2,20.9,2180,2,High Interference / Noise
IGD_007,2026-02-25 03:21:37,3038,18217,2039,2732,12.44,6.64,25.13,37.58,117,0,Crosstalk / Saturation
IGD_225,2026-02-25 03:21:38,6753,17254,2228,2588,23.87,13.69,33.21,30.67,12,0,NORMAL
IGD_254,2026-02-24 03:21:38,1916,12137,1441,1820,13.29,11.38,37.2,46.18,92,0,Line degradation
IGD_284,2026-02-25 03:21:38,569,9427,884,1414,4.47,4.24,46.18,49.41,2428,2,High Interference / Noise
IGD_241,2026-02-24 09:21:38,721,10117,1042,1517,10.2,8.54,57.54,66.03,430,2,Line degradation
IGD_297,2026-02-23 15:21:38,6876,23042,1221,3456,23.44,20.68,18.23,19.59,192,0,Configuration / Ports overload
IGD_259,2026-02-23 03:21:38,10903,21643,2977,3246,19.81,15.02,16.48,17.43,14,0,NORMAL
IGD_210,2026-02-23 09:21:38,7663,22556,2365,3383,17.11,14.14,26.3,33.1,36,0,Line degradation
IGD_095,2026-02-22 21:21:37,1230,12624,1006,1893,7.25,3.74,29.41,35.48,570,2,High Interference / Noise
IGD_063,2026-02-22 21:21:37,1901,15768,1764,2365,7.76,6.9,30.17,36.18,682,1,Crosstalk / Saturation
IGD_252,2026-02-25 03:21:38,882,12398,1192,1859,7.01,4.63,49.29,58.82,881,1,Line degradation
IGD_120,2026-02-24 09:21:37,1779,13381,1464,2007,9.63,9.03,41.03,47.16,318,0,Line degradation
IGD_207,2026-02-24 15:21:38,672,9045,562,1356,5.45,6.47,42.8,46.73,800,2,High Interference / Noise
IGD_104,2026-02-23 09:21:37,5869,19252,2026,2887,17.52,13.64,24.24,31.69,35,0,Line degradation
IGD_151,2026-02-24 03:21:37,2795,17732,2106,2659,11.77,10.87,39.44,45.01,27,0,Line degradation
IGD_158,2026-02-24 09:21:37,3012,19050,2091,2857,10.26,5.94,28.39,38.98,89,0,Crosstalk / Saturation
IGD_214,2026-02-22 21:21:38,3275,15879,881,2381,19.42,12.48,34.36,36.08,278,0,Configuration / Ports overload
IGD_205,2026-02-23 21:21:38,1994,17140,2044,2571,5.5,8.39,37.58,44.16,449,1,Crosstalk / Saturation
IGD_140,2026-02-24 03:21:37,4467,19612,1949,2941,11.12,9.62,29.29,37.8,76,0,Line degradation
IGD_028,2026-02-25 03:21:37,426,10949,1069,1642,6.25,4.12,57.73,70.2,842,2,Line degradation
IGD_147,2026-02-24 03:21:37,9038,20733,2766,3109,17.05,13.59,19.94,18.48,11,0,NORMAL
IGD_151,2026-02-23 15:21:37,4753,17732,1682,2659,16.5,11.41,32.47,39.04,9,0,Line degradation
IGD_229,2026-02-23 09:21:38,4312,13010,1851,1951,18.27,21.74,29.88,30.9,84,0,NORMAL
IGD_284,2026-02-24 21:21:38,330,9427,867,1414,4.84,3.28,47.62,50.25,3399,2,High Interference / Noise
IGD_273,2026-02-23 15:21:38,1310,9983,707,1497,16.71,15.19,43.95,41.9,272,0,Configuration / Ports overload
IGD_056,2026-02-23 15:21:37,2563,8608,1172,1291,22.36,16.68,43.42,53.66,18,1,NORMAL
IGD_084,2026-02-23 21:21:37,2155,11944,950,1791,19.36,14.86,45.28,44.03,205,0,Configuration / Ports overload
IGD_097,2026-02-23 09:21:37,1692,12891,731,1933,17.41,14.39,34.82,38.54,360,1,Configuration / Ports overload
IGD_060,2026-02-24 09:21:37,6114,13531,1842,2029,22.52,20.79,30.89,32.77,2,0,NORMAL
IGD_246,2026-02-23 03:21:38,6455,19119,1922,2867,16.62,16.31,23.3,28.76,12,0,Line degradation
IGD_081,2026-02-23 09:21:37,8691,18023,2509,2703,21.92,13.52,20.43,18.2,16,0,NORMAL
IGD_214,2026-02-24 09:21:38,2579,15879,1193,2381,17.44,11.34,38.39,39.29,171,1,Configuration / Ports overload
IGD_299,2026-02-24 03:21:38,2356,16191,1621,2428,12.89,11.03,49.07,52.29,135,1,Line degradation
IGD_272,2026-02-25 03:21:38,3967,13812,1937,2071,19.86,15.24,38.26,44.5,81,0,NORMAL
IGD_045,2026-02-22 21:21:37,2653,9835,1366,1475,18.22,15.94,40.79,43.97,70,0,NORMAL
IGD_051,2026-02-24 21:21:37,1131,14610,1493,2191,10.27,5.39,54.62,60.6,692,1,Line degradation
IGD_008,2026-02-24 09:21:37,1661,11894,708,1784,20.2,16.54,44.67,50.12,184,0,Configuration / Ports overload
IGD_249,2026-02-23 03:21:38,5142,16501,1542,2475,19.38,15.57,35.36,39.71,19,0,Line degradation
IGD_065,2026-02-25 03:21:37,1541,10547,748,1582,15.74,18.53,41.89,42.8,194,0,Configuration / Ports overload
IGD_053,2026-02-23 09:21:37,567,9059,616,1358,9.43,6.17,43.85,52.26,901,2,High Interference / Noise
IGD_149,2026-02-24 15:21:37,1274,13247,1062,1987,7.03,3.94,30.73,35.43,1061,2,High Interference / Noise
IGD_221,2026-02-24 21:21:38,7204,14383,1962,2157,23.82,19.93,26.39,26.2,29,0,NORMAL
IGD_150,2026-02-23 21:21:37,6256,22675,2347,3401,13.73,9.4,25.13,30.37,50,0,Line degradation
IGD_066,2026-02-23 21:21:37,2473,10566,1434,1584,18.25,14.34,42.16,44.41,64,0,NORMAL
